timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
15109770,14709800,0,536967232,399.97003,255,0
25135753,24708990,1,536967232,426.76303,255,0
35324681,34705977,2,536967232,618.70404,255,0
44861043,44705141,3,536967232,155.90201,255,0
54786717,54700387,4,536967232,86.33,255,0
64813775,64707861,5,536967232,105.914,255,0
74780678,74708948,6,536967232,71.73,255,0
84955723,84706383,7,536967232,249.34001,255,0
94792756,94708199,8,536967232,84.55701,255,0
104737774,104708819,9,536967232,28.955002,255,0
114774471,114710571,10,536967232,63.9,255,0
124777682,124709010,11,536967232,68.672005,255,0
134869686,134709850,12,536967232,159.83601,255,0
145343131,144700864,13,536967232,642.267,255,0
